name,url,feed_url,category
TechCrunch-AI,https://techcrunch.com,https://techcrunch.com/category/artificial-intelligence/feed/,AI/科技
TheVerge-AI,https://www.theverge.com,https://www.theverge.com/rss/ai-artificial-intelligence/index.xml,AI/科技
VentureBeat-AI,https://venturebeat.com,https://venturebeat.com/category/ai/feed,AI/科技
ArXiv-CS-AI,https://arxiv.org,https://rss.arxiv.org/rss/cs.AI,AI/科技
HackerNews,https://news.ycombinator.com,https://hnrss.org/frontpage,创业风向
HackerNews-ShowHN,https://hnrss.org/show,https://hnrss.org/show,创业风向
HN-AskHN,https://hnrss.org/ask,https://hnrss.org/ask,创业风向
YCombinator-Blog,https://www.ycombinator.com,https://www.ycombinator.com/blog/feed,创业风向
36kr,https://36kr.com,https://36kr.com/feed,中文商业
虎嗅,https://www.huxiu.com,https://rss.huxiu.com/,中文商业
少数派,https://sspai.com,https://sspai.com/feed,中文商业
小众软件,https://www.appinn.com,https://www.appinn.com/feed/,中文商业
Ahrefs-Blog,https://ahrefs.com/blog,https://ahrefs.com/blog/feed/,电商/增长
Zapier-Blog,https://zapier.com/blog,https://zapier.com/blog/feeds/latest/,电商/增长
BenThompson-Stratechery,https://stratechery.com,https://stratechery.com/feed/,战略分析
SethGodin,https://seths.blog,https://seths.blog/feed/,战略分析
WaitButWhy,https://waitbutwhy.com,https://waitbutwhy.com/feed,战略分析
ProductHunt,https://www.producthunt.com,https://www.producthunt.com/feed,产品发现
GH-Trending,https://github.com/trending,https://mshibanami.github.io/GitHubTrendingRSS/daily/all.xml,产品发现
